Month,Year,Product_id,Region,Units_expected,Stock,Percentage
March,2025,60,Bajío,827,929,112.33
June,2025,130,Sur,973,1093,112.33
April,2025,50,Sureste,747,839,112.32
November,2025,6,Bajío,925,1039,112.32
April,2025,121,Zona Metropolitana De Monterrey,1055,1185,112.32
August,2025,71,Ciudad De México,1721,1933,112.32
October,2025,27,Ciudad De México,780,876,112.31
May,2025,95,Noroeste,1495,1679,112.31
March,2025,20,Sureste,1511,1697,112.31
April,2025,88,Zona Metropolitana De Monterrey,748,840,112.3
August,2025,50,Bajío,935,1050,112.3
December,2025,46,Bajío,1236,1388,112.3
August,2025,55,Noroeste,1455,1634,112.3
January,2025,63,Noroeste,1050,1179,112.29
August,2025,59,Ciudad De México,1481,1663,112.29
November,2025,77,Ciudad De México,1635,1836,112.29
February,2025,42,Bajío,945,1061,112.28
July,2025,130,Noroeste,977,1097,112.28
June,2025,6,Zona Metropolitana De Monterrey,1124,1262,112.28
July,2025,9,Ciudad De México,1873,2103,112.28
June,2025,63,Bajío,1043,1171,112.27
May,2025,12,Zona Metropolitana De Guadalajara,1850,2077,112.27
September,2025,22,Sureste,522,586,112.26
November,2025,16,Sur,1240,1392,112.26
August,2025,36,Ciudad De México,1812,2034,112.25
December,2025,59,Sur,1315,1476,112.24
July,2025,103,Ciudad De México,1528,1715,112.24
April,2025,81,Ciudad De México,1707,1916,112.24
April,2025,43,Zona Metropolitana De Monterrey,1945,2183,112.24
May,2025,48,Noroeste,842,945,112.23
November,2025,82,Noroeste,973,1092,112.23
June,2025,128,Zona Metropolitana De Guadalajara,1006,1129,112.23
November,2025,105,Sureste,1235,1386,112.23
August,2025,61,Ciudad De México,1905,2138,112.23
August,2025,58,Noroeste,1285,1442,112.22
April,2025,56,Zona Metropolitana De Guadalajara,1523,1709,112.21
January,2025,9,Zona Metropolitana De Monterrey,1621,1819,112.21
August,2025,50,Noroeste,885,993,112.2
October,2025,63,Zona Metropolitana De Guadalajara,1221,1370,112.2
October,2025,50,Zona Metropolitana De Monterrey,1313,1473,112.19
January,2025,74,Zona Metropolitana De Guadalajara,1258,1411,112.16
September,2025,72,Bajío,1587,1780,112.16
June,2025,17,Sureste,1119,1255,112.15
March,2025,42,Sureste,626,702,112.14
March,2025,4,Noroeste,1137,1275,112.14
April,2025,104,Zona Metropolitana De Guadalajara,1145,1284,112.14
June,2025,78,Bajío,1269,1423,112.14
October,2025,74,Zona Metropolitana De Monterrey,1171,1313,112.13
August,2025,40,Noroeste,1352,1516,112.13
October,2025,105,Sur,1114,1249,112.12
April,2025,81,Bajío,1287,1443,112.12
January,2025,117,Zona Metropolitana De Monterrey,1419,1591,112.12
July,2025,16,Bajío,1807,2026,112.12
March,2025,75,Sureste,851,954,112.1
February,2025,122,Ciudad De México,975,1093,112.1
August,2025,13,Noroeste,1653,1853,112.1
January,2025,82,Ciudad De México,1505,1687,112.09
February,2025,84,Zona Metropolitana De Monterrey,1654,1854,112.09
March,2025,25,Zona Metropolitana De Monterrey,654,733,112.08
March,2025,5,Noroeste,720,807,112.08
April,2025,6,Sureste,737,826,112.08
November,2025,39,Bajío,1399,1568,112.08
September,2025,92,Sureste,638,715,112.07
March,2025,20,Sur,1317,1476,112.07
February,2025,81,Bajío,1342,1504,112.07
June,2025,45,Bajío,1516,1699,112.07
June,2025,81,Bajío,1078,1208,112.06
April,2025,35,Bajío,1219,1366,112.06
February,2025,55,Noroeste,1285,1440,112.06
March,2025,55,Sureste,1542,1728,112.06
October,2025,104,Sureste,1046,1172,112.05
May,2025,129,Noroeste,1519,1702,112.05
January,2025,16,Zona Metropolitana De Monterrey,2284,2559,112.04
January,2025,86,Noroeste,615,689,112.03
January,2025,100,Sur,881,987,112.03
October,2025,61,Sureste,1056,1183,112.03
October,2025,73,Sureste,1305,1462,112.03
June,2025,105,Bajío,1538,1723,112.03
September,2025,54,Bajío,1887,2114,112.03
April,2025,107,Zona Metropolitana De Monterrey,2294,2570,112.03
January,2025,48,Sureste,1065,1193,112.02
May,2025,73,Sureste,1215,1361,112.02
March,2025,117,Sureste,949,1063,112.01
August,2025,118,Noroeste,1083,1213,112.0
July,2025,56,Bajío,1233,1381,112.0
September,2025,113,Ciudad De México,1658,1857,112.0
September,2025,104,Sureste,1026,1149,111.99
December,2025,66,Sur,1168,1308,111.99
May,2025,129,Zona Metropolitana De Monterrey,1811,2028,111.98
July,2025,1,Ciudad De México,1387,1553,111.97
September,2025,122,Sur,586,656,111.95
February,2025,130,Noroeste,979,1096,111.95
January,2025,28,Noroeste,603,675,111.94
July,2025,58,Sureste,1164,1303,111.94
April,2025,128,Zona Metropolitana De Guadalajara,872,976,111.93
October,2025,36,Sureste,1232,1379,111.93
May,2025,47,Noroeste,1475,1651,111.93
January,2025,55,Bajío,1719,1924,111.93
February,2025,83,Zona Metropolitana De Monterrey,1786,1999,111.93
July,2025,123,Zona Metropolitana De Monterrey,1518,1699,111.92
July,2025,1,Zona Metropolitana De Guadalajara,1535,1718,111.92
June,2025,118,Sur,1108,1240,111.91
July,2025,41,Sur,1125,1259,111.91
May,2025,82,Ciudad De México,1268,1419,111.91
January,2025,85,Zona Metropolitana De Monterrey,1377,1541,111.91
January,2025,97,Sur,1645,1841,111.91
August,2025,16,Zona Metropolitana De Guadalajara,1713,1917,111.91
July,2025,105,Zona Metropolitana De Monterrey,1730,1936,111.91
July,2025,52,Noroeste,1025,1147,111.9
August,2025,15,Zona Metropolitana De Guadalajara,1605,1796,111.9
March,2025,21,Sureste,488,546,111.89
January,2025,102,Noroeste,866,969,111.89
December,2025,51,Sureste,984,1101,111.89
October,2025,48,Bajío,1135,1270,111.89
February,2025,57,Noroeste,1833,2051,111.89
October,2025,119,Zona Metropolitana De Guadalajara,1582,1770,111.88
November,2025,11,Sur,1078,1206,111.87
April,2025,101,Noroeste,1289,1442,111.87
January,2025,48,Zona Metropolitana De Guadalajara,1398,1564,111.87
May,2025,66,Bajío,1491,1668,111.87
October,2025,30,Zona Metropolitana De Monterrey,683,764,111.86
April,2025,76,Zona Metropolitana De Guadalajara,700,783,111.86
April,2025,43,Sur,1298,1452,111.86
December,2025,120,Sureste,675,755,111.85
March,2025,29,Zona Metropolitana De Guadalajara,717,802,111.85
February,2025,72,Noroeste,1452,1624,111.85
August,2025,4,Sur,777,869,111.84
August,2025,106,Bajío,1267,1417,111.84
October,2025,39,Bajío,1326,1483,111.84
June,2025,24,Noroeste,524,586,111.83
December,2025,29,Sureste,558,624,111.83
February,2025,35,Zona Metropolitana De Monterrey,1690,1890,111.83
May,2025,81,Ciudad De México,1565,1750,111.82
May,2025,65,Zona Metropolitana De Guadalajara,1734,1939,111.82
October,2025,120,Sur,813,909,111.81
April,2025,90,Ciudad De México,991,1108,111.81
July,2025,6,Sureste,737,824,111.8
May,2025,5,Noroeste,771,862,111.8
December,2025,69,Ciudad De México,771,862,111.8
March,2025,7,Sureste,924,1033,111.8
August,2025,36,Zona Metropolitana De Guadalajara,1381,1544,111.8
January,2025,30,Noroeste,577,645,111.79
November,2025,16,Noroeste,1510,1688,111.79
August,2025,59,Sureste,1097,1226,111.76
December,2025,102,Zona Metropolitana De Guadalajara,1225,1369,111.76
March,2025,97,Sureste,1377,1539,111.76
June,2025,40,Ciudad De México,1897,2120,111.76
April,2025,39,Bajío,1047,1170,111.75
October,2025,48,Zona Metropolitana De Guadalajara,1319,1474,111.75
November,2025,36,Sur,1167,1304,111.74
April,2025,113,Noroeste,1636,1828,111.74
August,2025,115,Sureste,1211,1353,111.73
January,2025,130,Noroeste,853,953,111.72
January,2025,83,Zona Metropolitana De Guadalajara,2364,2641,111.72
May,2025,116,Zona Metropolitana De Guadalajara,820,916,111.71
November,2025,7,Bajío,991,1107,111.71
July,2025,46,Zona Metropolitana De Monterrey,1631,1822,111.71
March,2025,66,Zona Metropolitana De Guadalajara,1419,1585,111.7
September,2025,98,Zona Metropolitana De Monterrey,1837,2052,111.7
August,2025,122,Zona Metropolitana De Monterrey,616,688,111.69
April,2025,116,Zona Metropolitana De Monterrey,727,812,111.69
November,2025,49,Noroeste,958,1070,111.69
October,2025,8,Bajío,1233,1377,111.68
December,2025,78,Zona Metropolitana De Monterrey,1575,1759,111.68
September,2025,102,Sureste,857,957,111.67
September,2025,31,Bajío,1337,1493,111.67
March,2025,43,Sureste,1371,1531,111.67
December,2025,50,Zona Metropolitana De Monterrey,1482,1655,111.67
July,2025,90,Ciudad De México,815,910,111.66
December,2025,3,Sureste,892,996,111.66
December,2025,17,Noroeste,1415,1580,111.66
March,2025,115,Zona Metropolitana De Monterrey,1689,1886,111.66
August,2025,64,Noroeste,1142,1275,111.65
November,2025,27,Bajío,593,662,111.64
May,2025,89,Sur,1186,1324,111.64
March,2025,43,Noroeste,1855,2071,111.64
August,2025,96,Ciudad De México,2303,2571,111.64
April,2025,58,Zona Metropolitana De Monterrey,1453,1622,111.63
June,2025,88,Zona Metropolitana De Guadalajara,611,682,111.62
September,2025,99,Zona Metropolitana De Monterrey,1196,1335,111.62
March,2025,61,Sur,1256,1402,111.62
February,2025,106,Ciudad De México,1600,1786,111.62
October,2025,112,Noroeste,1438,1605,111.61
May,2025,64,Zona Metropolitana De Monterrey,1241,1385,111.6
March,2025,39,Sureste,1104,1232,111.59
August,2025,65,Noroeste,1268,1415,111.59
October,2025,24,Zona Metropolitana De Monterrey,708,790,111.58
July,2025,44,Zona Metropolitana De Guadalajara,1339,1494,111.58
September,2025,82,Zona Metropolitana De Monterrey,1502,1676,111.58
September,2025,107,Ciudad De México,1900,2120,111.58
June,2025,28,Ciudad De México,890,993,111.57
August,2025,84,Sureste,874,975,111.56
June,2025,99,Bajío,917,1023,111.56
June,2025,99,Sureste,995,1110,111.56
May,2025,104,Zona Metropolitana De Guadalajara,1220,1361,111.56
October,2025,89,Zona Metropolitana De Monterrey,1350,1506,111.56
July,2025,16,Zona Metropolitana De Guadalajara,1420,1584,111.55
March,2025,56,Sur,1118,1247,111.54
November,2025,126,Ciudad De México,1187,1324,111.54
March,2025,97,Bajío,1551,1730,111.54
September,2025,47,Ciudad De México,2365,2638,111.54
May,2025,27,Ciudad De México,963,1074,111.53
July,2025,50,Zona Metropolitana De Guadalajara,1101,1228,111.53
June,2025,83,Zona Metropolitana De Monterrey,2290,2554,111.53
August,2025,42,Sur,547,610,111.52
January,2025,70,Zona Metropolitana De Monterrey,807,900,111.52
February,2025,10,Sureste,825,920,111.52
August,2025,92,Zona Metropolitana De Monterrey,920,1026,111.52
December,2025,97,Bajío,1614,1800,111.52
September,2025,29,Bajío,721,804,111.51
August,2025,1,Bajío,1303,1453,111.51
July,2025,95,Sur,1607,1792,111.51
February,2025,71,Noroeste,1738,1938,111.51
November,2025,113,Zona Metropolitana De Guadalajara,1990,2219,111.51
March,2025,78,Sureste,1000,1115,111.5
October,2025,123,Sur,1226,1367,111.5
February,2025,77,Ciudad De México,1261,1406,111.5
January,2025,106,Zona Metropolitana De Guadalajara,1635,1823,111.5
March,2025,3,Noroeste,949,1058,111.49
August,2025,63,Bajío,1131,1261,111.49
November,2025,15,Noroeste,1542,1719,111.48
January,2025,72,Noroeste,1672,1864,111.48
September,2025,6,Sureste,846,943,111.47
August,2025,101,Sur,1194,1331,111.47
January,2025,125,Bajío,1325,1477,111.47
June,2025,13,Zona Metropolitana De Guadalajara,1482,1652,111.47
April,2025,63,Sur,899,1002,111.46
July,2025,46,Zona Metropolitana De Guadalajara,1300,1449,111.46
June,2025,116,Sur,585,652,111.45
January,2025,33,Noroeste,1162,1295,111.45
March,2025,53,Noroeste,612,682,111.44
May,2025,66,Zona Metropolitana De Monterrey,1189,1325,111.44
October,2025,18,Zona Metropolitana De Monterrey,1705,1900,111.44
February,2025,118,Zona Metropolitana De Monterrey,1871,2085,111.44
June,2025,30,Sur,516,575,111.43
August,2025,80,Ciudad De México,1129,1258,111.43
December,2025,114,Sureste,1400,1560,111.43
April,2025,76,Noroeste,543,605,111.42
May,2025,123,Bajío,1314,1464,111.42
December,2025,70,Noroeste,561,625,111.41
April,2025,79,Sur,1218,1357,111.41
August,2025,121,Zona Metropolitana De Monterrey,649,723,111.4
December,2025,122,Noroeste,798,889,111.4
April,2025,82,Zona Metropolitana De Guadalajara,1133,1262,111.39
April,2025,97,Sureste,1765,1966,111.39
March,2025,106,Zona Metropolitana De Monterrey,1800,2005,111.39
January,2025,66,Ciudad De México,1808,2014,111.39
December,2025,91,Noroeste,791,881,111.38
January,2025,99,Zona Metropolitana De Monterrey,1309,1458,111.38
December,2025,129,Zona Metropolitana De Guadalajara,1415,1576,111.38
August,2025,49,Zona Metropolitana De Guadalajara,1600,1782,111.38
December,2025,26,Ciudad De México,783,872,111.37
October,2025,38,Noroeste,932,1038,111.37
January,2025,63,Bajío,1161,1293,111.37
October,2025,69,Sur,572,637,111.36
August,2025,93,Noroeste,1039,1157,111.36
January,2025,123,Sur,1118,1245,111.36
October,2025,116,Zona Metropolitana De Monterrey,687,765,111.35
July,2025,116,Zona Metropolitana De Guadalajara,784,873,111.35
September,2025,10,Zona Metropolitana De Guadalajara,969,1079,111.35
April,2025,129,Zona Metropolitana De Guadalajara,1515,1687,111.35
February,2025,61,Ciudad De México,1860,2071,111.34
August,2025,126,Noroeste,1024,1140,111.33
January,2025,115,Sureste,1483,1651,111.33
March,2025,55,Sur,1237,1377,111.32
May,2025,114,Noroeste,1307,1455,111.32
September,2025,107,Zona Metropolitana De Monterrey,2137,2379,111.32
July,2025,96,Ciudad De México,2165,2410,111.32
June,2025,84,Bajío,1309,1457,111.31
June,2025,21,Zona Metropolitana De Monterrey,690,768,111.3
September,2025,60,Ciudad De México,1027,1143,111.3
January,2025,42,Zona Metropolitana De Monterrey,1053,1172,111.3
November,2025,121,Sureste,611,680,111.29
February,2025,14,Zona Metropolitana De Monterrey,1559,1735,111.29
August,2025,51,Sur,860,957,111.28
October,2025,102,Bajío,993,1105,111.28
July,2025,115,Sur,1206,1342,111.28
June,2025,59,Bajío,1083,1205,111.27
May,2025,85,Ciudad De México,1916,2132,111.27
March,2025,41,Bajío,1208,1344,111.26
May,2025,107,Bajío,1768,1967,111.26
May,2025,78,Noroeste,1013,1127,111.25
November,2025,9,Sureste,1076,1197,111.25
June,2025,92,Ciudad De México,1050,1168,111.24
August,2025,91,Bajío,1085,1207,111.24
December,2025,56,Zona Metropolitana De Monterrey,1308,1455,111.24
September,2025,111,Ciudad De México,1158,1288,111.23
May,2025,62,Zona Metropolitana De Monterrey,1380,1535,111.23
April,2025,40,Ciudad De México,1407,1565,111.23
October,2025,93,Zona Metropolitana De Guadalajara,1531,1703,111.23
November,2025,107,Noroeste,1549,1723,111.23
March,2025,84,Zona Metropolitana De Monterrey,1808,2011,111.23
July,2025,104,Sureste,838,932,111.22
January,2025,1,Sureste,1034,1150,111.22
August,2025,56,Ciudad De México,1444,1606,111.22
December,2025,18,Zona Metropolitana De Guadalajara,1577,1754,111.22
January,2025,31,Sur,901,1002,111.21
March,2025,117,Bajío,1329,1478,111.21
June,2025,83,Sur,1534,1706,111.21
March,2025,65,Sur,1535,1707,111.21
May,2025,66,Sureste,982,1092,111.2
March,2025,123,Noroeste,1214,1350,111.2
February,2025,106,Zona Metropolitana De Guadalajara,1527,1698,111.2
March,2025,129,Zona Metropolitana De Guadalajara,1788,1988,111.19
August,2025,15,Zona Metropolitana De Monterrey,1930,2146,111.19
May,2025,26,Ciudad De México,796,885,111.18
September,2025,117,Zona Metropolitana De Guadalajara,1029,1144,111.18
January,2025,84,Zona Metropolitana De Guadalajara,1691,1880,111.18
October,2025,26,Bajío,752,836,111.17
August,2025,71,Zona Metropolitana De Guadalajara,1952,2170,111.17
October,2025,106,Noroeste,932,1036,111.16
November,2025,11,Zona Metropolitana De Guadalajara,1738,1932,111.16
July,2025,5,Noroeste,1076,1196,111.15
May,2025,33,Zona Metropolitana De Monterrey,1524,1694,111.15
October,2025,121,Sur,700,778,111.14
November,2025,36,Bajío,1212,1347,111.14
March,2025,71,Sureste,1284,1427,111.14
October,2025,31,Bajío,1346,1496,111.14
April,2025,98,Ciudad De México,2074,2305,111.14
October,2025,26,Zona Metropolitana De Guadalajara,746,829,111.13
July,2025,9,Noroeste,1177,1308,111.13
April,2025,130,Noroeste,899,999,111.12
April,2025,66,Zona Metropolitana De Guadalajara,1214,1349,111.12
May,2025,84,Noroeste,1214,1349,111.12
October,2025,115,Zona Metropolitana De Monterrey,1942,2158,111.12
December,2025,23,Sureste,621,690,111.11
December,2025,38,Bajío,1134,1260,111.11
February,2025,17,Sureste,1422,1580,111.11
October,2025,92,Noroeste,865,961,111.1
August,2025,128,Ciudad De México,1045,1161,111.1
December,2025,63,Bajío,1117,1241,111.1
January,2025,77,Zona Metropolitana De Guadalajara,1378,1531,111.1
January,2025,64,Zona Metropolitana De Guadalajara,1495,1661,111.1
February,2025,79,Zona Metropolitana De Guadalajara,1540,1711,111.1
February,2025,73,Bajío,1551,1723,111.09
November,2025,111,Bajío,966,1073,111.08
October,2025,45,Bajío,1491,1656,111.07
April,2025,42,Bajío,913,1014,111.06
December,2025,33,Bajío,1203,1336,111.06
February,2025,87,Bajío,1419,1576,111.06
May,2025,84,Zona Metropolitana De Guadalajara,1537,1707,111.06
August,2025,65,Bajío,1772,1968,111.06
March,2025,27,Bajío,543,603,111.05
May,2025,56,Bajío,1122,1246,111.05
November,2025,103,Zona Metropolitana De Guadalajara,1185,1316,111.05
June,2025,12,Zona Metropolitana De Guadalajara,1864,2070,111.05
October,2025,43,Zona Metropolitana De Monterrey,1963,2180,111.05
September,2025,38,Noroeste,996,1106,111.04
April,2025,93,Bajío,1043,1158,111.03
November,2025,33,Noroeste,1233,1369,111.03
December,2025,104,Zona Metropolitana De Guadalajara,1296,1439,111.03
March,2025,83,Sureste,1305,1449,111.03
February,2025,83,Sureste,1623,1802,111.03
September,2025,70,Noroeste,699,776,111.02
December,2025,55,Zona Metropolitana De Monterrey,1887,2095,111.02
February,2025,119,Zona Metropolitana De Monterrey,2277,2528,111.02
October,2025,79,Sureste,1226,1361,111.01
May,2025,10,Bajío,709,787,111.0
December,2025,68,Noroeste,1636,1816,111.0
November,2025,22,Bajío,664,737,110.99
August,2025,88,Ciudad De México,810,899,110.99
March,2025,63,Zona Metropolitana De Guadalajara,1310,1454,110.99
April,2025,80,Sureste,674,748,110.98
October,2025,60,Sureste,683,758,110.98
October,2025,7,Sureste,1047,1162,110.98
January,2025,89,Sur,1047,1162,110.98
February,2025,60,Noroeste,729,809,110.97
April,2025,80,Ciudad De México,1077,1195,110.96
April,2025,18,Sureste,1533,1701,110.96
July,2025,9,Zona Metropolitana De Guadalajara,1587,1761,110.96
October,2025,122,Zona Metropolitana De Guadalajara,749,831,110.95
February,2025,78,Sureste,804,892,110.95
December,2025,74,Noroeste,979,1086,110.93
April,2025,69,Sur,577,640,110.92
June,2025,3,Noroeste,1071,1188,110.92
May,2025,77,Noroeste,1190,1320,110.92
November,2025,37,Noroeste,1200,1331,110.92
February,2025,8,Zona Metropolitana De Monterrey,1227,1361,110.92
May,2025,87,Sureste,1346,1493,110.92
March,2025,97,Zona Metropolitana De Guadalajara,2061,2286,110.92
April,2025,42,Zona Metropolitana De Guadalajara,834,925,110.91
August,2025,32,Bajío,1412,1566,110.91
June,2025,74,Sureste,927,1028,110.9
July,2025,9,Bajío,1550,1719,110.9
July,2025,92,Zona Metropolitana De Guadalajara,817,906,110.89
August,2025,105,Noroeste,1258,1395,110.89
December,2025,1,Ciudad De México,2029,2250,110.89
April,2025,25,Zona Metropolitana De Monterrey,708,785,110.88
September,2025,56,Bajío,1048,1162,110.88
September,2025,46,Noroeste,1369,1518,110.88
August,2025,44,Ciudad De México,1663,1844,110.88
March,2025,18,Zona Metropolitana De Guadalajara,2077,2303,110.88
December,2025,84,Ciudad De México,2215,2456,110.88
August,2025,128,Sur,800,887,110.87
August,2025,82,Sur,837,928,110.87
June,2025,112,Sur,1160,1286,110.86
September,2025,47,Sur,1666,1847,110.86
October,2025,28,Noroeste,516,572,110.85
September,2025,69,Noroeste,599,664,110.85
June,2025,42,Sur,691,766,110.85
July,2025,90,Zona Metropolitana De Guadalajara,710,787,110.85
November,2025,99,Bajío,977,1083,110.85
January,2025,5,Ciudad De México,1078,1195,110.85
March,2025,31,Zona Metropolitana De Guadalajara,1235,1369,110.85
April,2025,10,Bajío,904,1002,110.84
January,2025,74,Bajío,1210,1341,110.83
December,2025,61,Zona Metropolitana De Guadalajara,1367,1515,110.83
August,2025,96,Sureste,1431,1586,110.83
December,2025,52,Zona Metropolitana De Monterrey,1100,1219,110.82
November,2025,13,Bajío,1663,1843,110.82
June,2025,21,Bajío,629,697,110.81
April,2025,21,Ciudad De México,712,789,110.81
April,2025,88,Sureste,574,636,110.8
August,2025,121,Noroeste,686,760,110.79
September,2025,1,Zona Metropolitana De Guadalajara,1335,1479,110.79
December,2025,15,Sureste,1390,1540,110.79
April,2025,98,Noroeste,1456,1613,110.78
January,2025,20,Sureste,1550,1717,110.77
April,2025,97,Bajío,1969,2181,110.77
February,2025,71,Zona Metropolitana De Monterrey,2395,2653,110.77
December,2025,21,Zona Metropolitana De Monterrey,762,844,110.76
May,2025,123,Zona Metropolitana De Guadalajara,1199,1328,110.76
July,2025,108,Zona Metropolitana De Guadalajara,1654,1832,110.76
February,2025,71,Zona Metropolitana De Guadalajara,2137,2367,110.76
June,2025,26,Zona Metropolitana De Monterrey,744,824,110.75
November,2025,4,Sureste,930,1030,110.75
August,2025,127,Sureste,1730,1916,110.75
December,2025,6,Sureste,661,732,110.74
November,2025,111,Noroeste,819,907,110.74
August,2025,52,Sur,959,1062,110.74
November,2025,67,Zona Metropolitana De Monterrey,1080,1196,110.74
January,2025,66,Zona Metropolitana De Monterrey,1527,1691,110.74
January,2025,112,Zona Metropolitana De Monterrey,2067,2289,110.74
March,2025,85,Bajío,1361,1507,110.73
June,2025,123,Ciudad De México,1521,1684,110.72
October,2025,22,Bajío,663,734,110.71
April,2025,86,Zona Metropolitana De Guadalajara,747,827,110.71
August,2025,6,Sureste,840,930,110.71
July,2025,50,Sur,868,961,110.71
August,2025,121,Bajío,896,992,110.71
January,2025,118,Zona Metropolitana De Monterrey,1625,1799,110.71
April,2025,70,Noroeste,655,725,110.69
November,2025,26,Bajío,683,756,110.69
February,2025,96,Sureste,1497,1657,110.69
March,2025,91,Sureste,702,777,110.68
September,2025,128,Sur,833,922,110.68
January,2025,84,Sureste,1339,1482,110.68
November,2025,35,Ciudad De México,1573,1741,110.68
November,2025,47,Ciudad De México,2780,3077,110.68
December,2025,71,Zona Metropolitana De Guadalajara,1678,1857,110.67
March,2025,88,Zona Metropolitana De Monterrey,610,675,110.66
April,2025,86,Noroeste,619,685,110.66
February,2025,111,Noroeste,722,799,110.66
January,2025,98,Zona Metropolitana De Monterrey,1586,1755,110.66
July,2025,69,Ciudad De México,901,997,110.65
March,2025,108,Ciudad De México,2093,2316,110.65
November,2025,88,Noroeste,667,738,110.64
December,2025,106,Ciudad De México,1889,2090,110.64
September,2025,88,Noroeste,659,729,110.62
June,2025,104,Sureste,1140,1261,110.61
January,2025,91,Bajío,821,908,110.6
July,2025,81,Sur,887,981,110.6
April,2025,77,Noroeste,1217,1346,110.6
January,2025,113,Sur,1387,1534,110.6
April,2025,101,Zona Metropolitana De Guadalajara,1576,1743,110.6
September,2025,1,Zona Metropolitana De Monterrey,1594,1763,110.6
December,2025,101,Zona Metropolitana De Monterrey,1952,2159,110.6
August,2025,74,Noroeste,803,888,110.59
June,2025,37,Sureste,897,992,110.59
October,2025,103,Bajío,925,1023,110.59
October,2025,97,Zona Metropolitana De Guadalajara,1983,2193,110.59
June,2025,13,Zona Metropolitana De Monterrey,2228,2464,110.59
July,2025,55,Zona Metropolitana De Monterrey,2342,2590,110.59
March,2025,20,Zona Metropolitana De Monterrey,1710,1891,110.58
February,2025,9,Noroeste,1307,1445,110.56
January,2025,73,Bajío,1525,1686,110.56
December,2025,76,Zona Metropolitana De Monterrey,806,891,110.55
April,2025,74,Bajío,1137,1257,110.55
December,2025,111,Sureste,769,850,110.53
May,2025,67,Zona Metropolitana De Guadalajara,817,903,110.53
August,2025,26,Ciudad De México,931,1029,110.53
January,2025,99,Noroeste,1007,1113,110.53
November,2025,58,Bajío,1443,1595,110.53
December,2025,88,Ciudad De México,989,1093,110.52
February,2025,96,Bajío,1986,2195,110.52
August,2025,40,Zona Metropolitana De Monterrey,1532,1693,110.51
August,2025,24,Ciudad De México,848,937,110.5
July,2025,111,Ciudad De México,1067,1179,110.5
January,2025,45,Sureste,1362,1505,110.5
June,2025,30,Bajío,658,727,110.49
November,2025,108,Noroeste,1173,1296,110.49
December,2025,26,Sureste,582,643,110.48
September,2025,105,Noroeste,1040,1149,110.48
September,2025,49,Ciudad De México,1890,2088,110.48
August,2025,92,Sur,745,823,110.47
August,2025,117,Noroeste,936,1034,110.47
November,2025,81,Ciudad De México,1872,2068,110.47
February,2025,15,Ciudad De México,2140,2364,110.47
September,2025,43,Zona Metropolitana De Guadalajara,2198,2428,110.46
May,2025,10,Noroeste,909,1004,110.45
October,2025,51,Bajío,996,1100,110.44
December,2025,110,Sureste,1044,1153,110.44
May,2025,23,Sur,575,635,110.43
September,2025,29,Noroeste,623,688,110.43
June,2025,36,Zona Metropolitana De Guadalajara,1448,1599,110.43
January,2025,14,Bajío,1630,1800,110.43
January,2025,126,Zona Metropolitana De Monterrey,1027,1134,110.42
October,2025,108,Bajío,1728,1908,110.42
February,2025,16,Sur,1191,1315,110.41
June,2025,57,Zona Metropolitana De Guadalajara,1585,1750,110.41
December,2025,118,Zona Metropolitana De Monterrey,1614,1782,110.41
November,2025,17,Ciudad De México,1988,2195,110.41
June,2025,2,Noroeste,1000,1104,110.4
July,2025,21,Sureste,510,563,110.39
February,2025,61,Noroeste,1145,1264,110.39
March,2025,1,Sur,1165,1286,110.39
January,2025,113,Zona Metropolitana De Guadalajara,1703,1880,110.39
August,2025,119,Bajío,1532,1691,110.38
October,2025,21,Ciudad De México,781,862,110.37
April,2025,124,Zona Metropolitana De Guadalajara,935,1032,110.37
November,2025,62,Ciudad De México,1687,1862,110.37
August,2025,114,Zona Metropolitana De Monterrey,1851,2043,110.37
January,2025,106,Ciudad De México,2045,2257,110.37
January,2025,82,Noroeste,1092,1205,110.35
January,2025,49,Bajío,1468,1620,110.35
September,2025,129,Ciudad De México,1807,1994,110.35
January,2025,21,Zona Metropolitana De Monterrey,812,896,110.34
October,2025,103,Noroeste,967,1067,110.34
August,2025,51,Bajío,1112,1227,110.34
December,2025,108,Sur,1257,1387,110.34
January,2025,16,Noroeste,1364,1505,110.34
August,2025,38,Bajío,1441,1590,110.34
August,2025,125,Bajío,1490,1644,110.34
December,2025,122,Sur,484,534,110.33
August,2025,64,Sur,978,1079,110.33
November,2025,82,Zona Metropolitana De Monterrey,1317,1453,110.33
January,2025,118,Ciudad De México,1500,1655,110.33
May,2025,70,Zona Metropolitana De Monterrey,717,791,110.32
January,2025,64,Sur,901,994,110.32
November,2025,103,Sureste,1037,1144,110.32
July,2025,71,Sureste,1463,1614,110.32
January,2025,17,Bajío,1531,1689,110.32
October,2025,21,Zona Metropolitana De Monterrey,776,856,110.31
March,2025,7,Noroeste,960,1059,110.31
March,2025,66,Sureste,1232,1359,110.31
May,2025,124,Sureste,670,739,110.3
December,2025,107,Sureste,1378,1520,110.3
May,2025,49,Ciudad De México,1757,1938,110.3
June,2025,77,Sur,972,1072,110.29
July,2025,96,Sur,1361,1501,110.29
June,2025,47,Bajío,1672,1844,110.29
February,2025,38,Ciudad De México,1943,2143,110.29
March,2025,69,Sureste,681,751,110.28
November,2025,3,Ciudad De México,1371,1512,110.28
November,2025,77,Zona Metropolitana De Guadalajara,1596,1760,110.28
